WISEID,Answer,KIScore
150132.0,since the car has been sitting out in the sun for a week i think that the car is warmer no cold air can get into the car since it s closed up therefore the insides of the car are warmer than the outside air,3
150118.0,the sun is still making it hot but the cold air is able to get inside,2
118455.0,the car contains the heat,3
136416.0,becuase his windshield is like a magnifind glass it heats up the car,2
153910.0,i have experienced this before so i know if it s hot outside then it s most likely to be hot inside and the same thing happens with cold weather,2
139737.0,colder because all the cold outside the car went inside the car and it trapped,2
136551.0,it is the same because it has been in the sun all week but once in the cold it gets cold,2
154302.0,i think it will be warmer because it has been sitting in the sun for a week there is no way his car could be the same temperature as the air outside in one day of the week but again it did not say how hot or cold it was that week it could have been raining but the sun was shinning at the same time,2
118621.0,because some of the outside air goes inside the car through the window,2
149961.0,if you park your car in the sun the car will become the outside air because it cant get warmer than the out side without it being on,2
136423.0,on cold days mycar is usuallycolder then the air outside,2
118296.0,even if it was in the sun it would still be colder in the car than outside because it was cold outside and the car was sitting there for a week,2
118473.0,its cold ount side and when drive a car u have to wait until its warm so its probely the car will be cold maybe there is wind out side maybe the window might be open,2
136463.0,it would be the same temperature because they are in the same place,2
154139.0,i think it is the same as outside because the air gets stuck in the car which makes it cold,2
154225.0,becuse it is cold out side and the car has a heter,2
150241.0,i think it it will be warmer because there might have been a warmer day and the car will get warmer when not used,2
154306.0,if it was to degrees and sunny as the highest the cold air would definitely affect the temperature to go down about degrees the sun however would bring the temperature up a little bit to make an exact temperature,2
150920.0,it is colder because there is air conditioner,2
154126.0,its warmer inside because the cold air can t get inside the car and the air inside is the same,2
150247.0,because the air would have gotten in to the car,2
118318.0,the answer is that if it is iron it heats up really fast and it is very hot when it heats up and you touch it it is burning why because it is iron and the sun heats up the iron when it is very hot,2
151211.0,i pick that answer because if it was in the sun for a week then the sun would have reflect on the glass there for it would make it very hot over time,2
136363.0,because the heat would be in the car and the cold air would only affect the outside of the car,2
154042.0,because if you go inside the car you can feel the cold air is the same of outside,2
139840.0,because it has just been sitting there just because the sun out it won t make it warmer so lets say the windows frost up so when the windows frost up that causes the cold air to get through and make it the same temperature as outside,2
153838.0,there exactly the same air because what ever the air outside reflect s in the car in the inside so that why i think their the exact same same air,2
154371.0,because it is like a spoon that has metal and metal burns in heat and the car is made out of metal so it will be really hot inside,2
