WISEID,Answer,KIScore
118624.0,i chose this answer because if the sun has been shining on the car for a week the sun has just shone its light on the car not in the car this means that the top of the car is warmer not the inner part of the car,3
139545.0,warmer because heat gets trapped in the car meaning that temperature would increase,3
118465.0,the air has zero reflectivity so it absorbs more solar radiation than the car which has a reflective metal surface,3
136505.0,i think it is warmer because the light from the sun goes onto the windshield which projects the light from the sun into the car which makes the car hotter than the outside air making the car hotter it was before,3
153908.0,i think it would be a little warmer because it would trap air in the car and the little sun it would get will get it a little warm,3
118513.0,it is warmer because it has been absorbing sunlight and it traps the heat inside,4
118539.0,the hot air gets trapped in the car or they have the heater on in the car,2
118360.0,i dont know,1
154151.0,dont,1
153919.0,i think it will be warmer because like the plastic wrap and plexiglass the radiation will go through the windsheild and the glass in the windsheild would keep the heat inside of the car,4
154157.0,i think the car will be warmer than the outside air i think it will be warmer than the outside air because it been in the sun for a week and if it stays there for a week in the sun it s going to be warmer,2
153990.0,i think that his car would be colder because it was cold outside and he also has not driven his car in a week and his car kept the cold trapped inside the car,2
118440.0,it depends on the weather if it is cold outside then it will be really cold inside the car because when it is cold outside the coldness will go inside the car and stay in there and it might also fog up the mirrors if it is hot outside the heat will also heat the car on the outside making the heat go in the inside and heats it up and makes it warmer inside then it is outsiede,2
151207.0,its because the heat gets trapped in the car,3
139856.0,the temperature of the air inside the car would be warmer than the outside air because the car is parked in the sun therefore the car is absorbing the sun s heat,2
150204.0,i think it will be exactly the same temperature because it is cold out side and the cold air will be trapped inside the car it will also be cold because it hasn t been turned on in a week so the engine didn t heat the car up,2
139826.0,the air in the car is warmer than the air outside because it has been contained in the same space for a longer period of time the rays from the sun has been keeping the air inside warm even through the cold the air is more contained and given heat through the sun s rays,4
139526.0,the temperature inside the car will be warmer than the temperature outside because the inside of the car is like an insulator and the there is sunlight being directed at the car the solar radiation will turn into heat as it enters through the glass windshield,4
150171.0,i think it s colder inside the car because the cold air got in side and the car hasn t been driven for a week,2
139785.0,the air trapped in the car does not escape and reach equilibrium with the air outside but instead it is warmer than the air outside because the heat is trapped in the car,2
154304.0,i think this because the car will trap the cold inside the car and keep the car cold,2
118418.0,it is the same because there is no heat to warm it up except the sun that would keep it the same temperature,2
154131.0,i think this because the car was outside for a week and the sun could of sent heat waves and the heat could have been trapped in the car,3
118544.0,it would be warmer than the outside air because the air is trapped inside the car and the heat through the glass warms the air in the car and since the air is trapped it cant escape and it just gets hotter and hottwe,3
139482.0,the windows allow the sunlight to get in the car while it traps heat in the car the air is an isolated from the outside so the air inside would be warmer than the surrounding,4
136455.0,the air has been trapped in this car for a week in the sun making it warmer than weather temperature,2
136419.0,the heat from the sun has been trapped inside the car thus the air inside the car is warmer then than the air outside,2
118552.0,i don t know,1
139523.0,the car would be warmer than the outside air because the car is parked outside in the sun where the solar radiation will hit the car through the glass windows and changing into heat and can not escape because the glass reflects the heat energy back in addition the air inside the car is a good insulator where it does not lose the heat at a fast rate,5
136380.0,the temperature all week was probably not cold the sun still shined through the clouds and traps it insides making is car a little warmer,2
139513.0,the car is warmer because it traps the heat inside from solar radiation,3
150243.0,i think that it is warmer than the inside than it is outside because the car traps heat inside when it is under the sun,3
136417.0,i think it will be exactly the same because it can get inside by the heat ace vent and be the same as the outside air,2
139809.0,light enters the car and is absorbed as heat in the cars inner surfaces,3
150137.0,the car will be warm due to the radiation and the heat so the inside of the car will get warmer than the outside especially since it has been in the sun for a week,3
139797.0,the temperature inside the car will be warmer than the air outside of the car because the air is being trapped inside the car therefore it will just increase in heat accordingly towards the temperature outside of the car,3
139880.0,nan,1
139489.0,i think it is warmer than the outside air because the car probably acts as a greenhouse which traps heat energy emitted from the sun,4
118472.0,i think it would be warmer because i m pretty sure that the windows would be closed and the heat would be trapped inside because even though the temp is cold that doesn t mean there isn t a sun outside,3
151199.0,the heat of the car would be moe hotter because it would be trapped in side,3
139833.0,the radiation from the sun will be trapped inside the car so even if it s a cold day the inside of the car will still be warm,4
118552.0,i donot know,1
154135.0,i think the air in the car will be warmer than the outside air because it has been outside and there is no where for the air t go so it starts getting warmer because of the sun heating up the car with the air trapped in side,3
150060.0,even though it is cold outside the heat has been trapped in his car,3
149972.0,a car like a solar oven works like a greenhouse trapping heat that will make it hotter than the outside air even on a cold day because there is still hear coming from the sun,4
150054.0,there still might be heat that goes right through the glass and gets get trapped inside the car,4
139881.0,warmer because it had been parked in the sun and the cold temperature is not going inside the car,2
153864.0,it s going to be a different temperature inside the car as the compared outside because in the car it will keep all the warm air inside,3
154202.0,because the car was parked for an entire week the car had plenty of time to heat up if the windows were closed,2
154218.0,well i think its really cold inside his car because its cold outside and it traps all the cold air into the car and if it was hot then it would be warm in the inside of the car because it would trap the heat in it to,2
