WISEID,Answer,KIScore
136465,the atmostsphere is because it is absorbing the light and traping it in it is not letting any light out,4
150101,i chose earth because the sun rays are deflecting the earth,3
154218,well the sun attracts glass because it will make it shine more and it will attract the sun and solar radiation,3
118622,,1
118628,the atmosphere is the glass because it is the thing that absorbs the heat and the solar radiation,3
151209,i dot no,1
136546,the atmosphere is like glass on a greenhouse it keeps in some sunlight or heat and uses it to our advantage,4
139795,the atmosphere is like the glass of the greenhouse because the sun can pass through the atmosphere and the atmosphere helps the earth to absorb less energy,3
153864,the glass on the green house is what the sun rays are going through in the earth picture the atmosphere i what is the sun rays are going through so it is happening to both also the line around the earth is the atmosphere so that is also why,4
118458,the sun is bouncing off of the windows of the green house like the sun is bouncing off of the atmosephere,2
154117,i chose atmosphere because the atmosphere is surrounding us and it is also out around the earth so in the picture it is like the glass that the heat energy is coming through if it was space then the heat energy might escape the sun is circling around the earth but is not in one place like a big circle surrounding us and it can t be the earth because that is what is inside of the thing surrounding the greenhouse and the heat energy,3
136424,the atmosphere is like it because it let light in but reflects some,4
154201,the earth is the only planet in space that has radiation from the sun,3
151225,i don t now,1
136492,i think this because the atmosphere is trapping the heat so it will heat up the place or thing it is hitting,3
150163,the atmosphere is like a greenhouse because it grabs suns heat and light,3
136569,the atmosphere is like the glass trapping some heat inside it,3
149950,the earth is the glass because the heat waves bounced off,2
136549,the atmosphere is like the glass of the green house because when sr goes threw the roof it hits the plants and ur light comes back just like the earths atmosphere and sr goes threw it and hits the earth and comes back as ur light i know this because on the wise project in i think when we molded the green house gasses to guess are hypotenuse we learned that green house gasses go threw objects and bounce back,4
153924,because it keep all of the air in side,2
118612,the sun is reflexting the sun like the green house,2
118559,,1
118551,,1
154325,the atmosphere is like glass it lets sunlight enter and will let little of it out so that way the earth is not cold and a block of ice,5
136557,the imaginative line is the atmosphere because the atmosphere is like the glass the earth is like the plants the sun is the generator and space is just where heat travels,2
136388,the atmosphere lets some sun in like the glass and keeps it there because it reflects off the earth back to the atmosphere and back to earth,3
136421,the atmosphere does not let the heat out,3
139812,it passes through the glass and keeps the heat inside,3
