WISEID,Answer,KIScore
154340.0,because it can cook something by the sun and the sun shining at the plants,2
118316.0,it is similar because it is kind of like a box,2
136412.0,the greenhouse looks like a box and how the green hose gadsses never escape it also shows the glass rough witch reminds me of the plastic wrap i used on my solar oven,2
150109.0,the reason why i choose letter a because it looks the same it works the same way like how a solar oven works it goes in through the windows and stays there for a period of time,2
118404.0,i said that a because the heat go in,2
151174.0,the red arrow is going to the the floor of the green house,2
150174.0,because the heat is bouncing off the ground,2
136556.0,i chose a because like a solar over the sun is shining down on the items within it,2
150648.0,they are both simiar because they both get heat from the sun and because they both have some type of shell around them,3
118534.0,because you have to have things like plastic rap tin foil,2
154215.0,first beacause it doesnt have to do with a box or plexiglas or aluminal flap plastic wrap construction paper or tinfoil second because your not using plants,2
150196.0,it a aracks heat,2
150897.0,i dont knowthe answer is conduction,2
150067.0,because the sun shines through the roof and heats it up and also the sun on the earth is like the lite on the solar oven,3
136399.0,they heat making them grow the crops,2
150133.0,picture a is similar because it shows the sun beaming down on a window or solar panel which makes it heat up,2
150919.0,,1
150163.0,because the solar oven was soppoes to get hot and the green house and the earths atmoshere,2
118485.0,,1
118621.0,because we added glass and it was similar to part b because it reflected off,2
139769.0,the lid on the greenhouse keeps in the heat like the lid on top of a solar oven,3
154341.0,you can cook something and the sun shinning at the plants,2
150060.0,both diagrams remind me of a solar oven and their descriptions,3
118349.0,a is simaler cause it does the same thing as a solar oven and it show you how it work and also how a solar oven works to,2
118577.0,because solar ovens work the same way because as the solar oven the greenhouse reflects light too,2
150130.0,the glass holds in heat and the atmosphere hold in the heat also,3
154153.0,because in the solar oven the heat goes away,2
118586.0,because you want the heat to be in the box,2
118451.0,because the the plastic wrap is like the glass also we have refeckte suface,2
118622.0,yes they are both similar because they attract heat,2
150157.0,they are both getting lots of heat help it grow,2
118527.0,because it has something that looks like plexie glass,2
150917.0,the heat bounces off the heat oven and so does picture and,2
118490.0,because it is nothing like the solar oven because it grows the plant what we are doing is experementing if the foils and the other objects we have,2
150089.0,picture a is similar because it has glass same as the solar oven we made did also it has plants that are kinda like the food in our solar oven,2
150069.0,picture a is similar because it gets heat and makes the plant grow just like it make the chocolate and marshmallows melt,2
118440.0,it is similar because it is solar and uses the sun the box is using the sun to make the plants grow,2
118612.0,the solar oven reflexts the sun to the object inside the box not into space,2
118354.0,because the green house has the solar oven like it but the b picture the sun jumps of the earth,2
136414.0,i think both are similar because they reflect and absorb light heat,4
150092.0,because that is solar energy,3
,nan,1
