WISEID,Answer,KIScore
118524.0,using a light colored paint on the outside and having light colored fabric on the interior will keep the car cool while in the sun apposed to dark paint and dark fabric because dark colors attract the sun,2
154216.0,black makes it cool,2
136450.0,we experienced that the darker colors make things hotter and the lighter colors make things cooler,2
150650.0,if you use light it will only get some heat,2
151207.0,its because dark colors hold in the heat light colors don t do so much of that,3
118616.0,i choice light colored fabric because the light color wont effect the sun as much as a dark shade would,2
118578.0,the darker the color the more heat it attracts so if she has a lighter interior and exterior she should have a cooler car,2
151182.0,because the dark color won t let the car burn,2
118447.0,dark colors conduct more heat from the sun,2
154329.0,light colors because if you have dark colors they will heat up alot more than lighter colors,2
136413.0,she wouldn t want the inside of her car to get hot so she would put light colored fabric inside and it would not absorb it,2
118393.0,i said for my answer using a light color fabric on the inside of the car because if you have a dark color fabric it will take in the heat of the sun even more than a light color fabric,2
136566.0,the sun s heat can not be absorb by white stuff,2
118353.0,she should use a light colored fabric on the outside of the car because the light color will not hold in the heat,2
154141.0,you want to have a light colored car so the sun won t see it as much if you have a dark colored car the sun can see it more directly,2
150902.0,the sun would hit the car and bounce off of the roof because the paint is dark,3
150111.0,because it wont get hot,2
136417.0,i said that because when there is light colors there is less heat to be hot,2
139856.0,dark color attracts heat,2
150194.0,i chose this because dark colors trap heat while dark ones dont,3
154204.0,the dark is better because it keeps the un out,2
150918.0,i chose this answer because light colors are less likely to attract the sun rather than a dark color like black or navy blue,2
150208.0,it will keep the car cooler to have a light color paint and fabric because the dark colors have a bigger chance of trapping heat inside of the car,3
150178.0,i choose the dark colored fabric because the car won t get hot,2
150062.0,i think that she should use dark colored paint on the outside because if u use light colored paint it will make her car hot,2
154141.0,using light color won t contrast the sun to a dark color,2
118566.0,dark colors make in cars or even cloths make things hotter or make people swet more,2
118314.0,becoue with a dark coler paint it wont get to haot,2
118612.0,the sun is atracted to the dark colors and not the light colors,2
153843.0,because the dark colors attract the heat so the light colors won t,2
150247.0,because dark colors atract light,3
118303.0,i think that the light colored fabric because the color makes it cool in side of the car,2
150057.0,i did not choose dark because darker colors absorb more heat,3
154221.0,using a dark material will attract heat,2
118517.0,light dosnt attract heat but dark like black does attract heat,2
153834.0,dark colored thing attrct sun more causing them to heat up quicker,2
