WISEID,Answer,KIScore
118296,"I think dark colors would not work because they make think more warm than light colors. I also think she should get light colored leather and not fabric because fabric stains easily, and if the stains are dark they will make the seats even warmer. I think it is more important to have a light color on the outside because it would keep the inside of the car cooler. If it had a dark outside and a light inside it would not stay as cool.

Katie ",2
118300,I chose using using dark colored fabric inside the car because if you were a white colored shirt then you will get sunburn.The car will burn up if you put light colored fabric.,2
118302,My choice is a fabulous idea because a darker color will attract the solar heat from the sun to the car. She should also use the light colored fabric inside the car because it most likely not going to get the inside of the car hot.,2
118310,I think by using the light-color paint on the outside of the car will make the car car cooler.,2
118304,Light colors deflect heat while dark colors absorb heat.,4
118313,Light colored fabric takes less sunlight.,3
118319,because a dark color like black attract the heat but light colors like wight reflect the heat.,3
118297,Dark colors attract sun so you need light colors.,2
118298,"Well if you use dark colored paint on the outside it will be hot on the outside, if you put light colored paint on the outside it will be cold on the outside. But if you you use dark colored fabric it will make it hot on the outside, and if you use light colored fabric it will be cold on the inside.",2
118311,because the dark fabric is more thick and it can handle a lot of heat.,2
118305,"laura should use a light-colerd fabric on the inside of the car because it will keep the car not that hot durring the summer.
",2
118293,I chose these awnsers because dark colors trap heat and tend to get warmer and but light colors don't tend to do that.,2
118299,Well if you have a lighter shade of paint on your car and you were in the sun it reflect more to the sun.But if you had a darker shade then it wouldnt  ,3
118309,probraly it would cover son,2
118307,Because dark colors are heated up faster.,2
118306,using/wearing dark colored objects gets you/it more hot that is why i think laura might want to use only light colored things,2
118308,"If you have dark leather in side like black, it makes your car hotter cause black leather attracts sunlight",3
118321,"If you put a light colored paint on he outside the car because if you put black on the outside it will get warm faster,and if put light  color fabric on the inside it will stay fresh and to warm.",2
118312,Using a light colored paint on the outside will help it stay cool.,2
118318,to keep the car cool you should have a light colored fabric because it can keep the car cool and the sun cannot heat up the car.,2
118303, I think that the light-colored fabric because the color makes it cool in side of the car.   ,2
118314,becoue with a dark coler paint it wont get to haot,2
118301,I think the light colored car would be the best because dark colors attract the sun.And for a light colored fabric inside the car wouldn't attract the sun as much.Thats how I think she should keep her car cool.,2
118316, laura should use light colored fabric because that doses not attract heat as much. ,2
118320,"I chose this because the paint doesn't matter about the heat inside the car.If she uses dark colored fabric,the sun will reflect on it,then it will be very hot.So, if she uses light colored fabric it will stay a little cool in her car.",2
118294,0,1
118315,i agree with my choice because for example light reflects off of light colors like white or lighter colors where as colors like black take in light making it heated,4
118323,I belive light colors atract less sun light and darker colors atract more sunlight.,3
118482,because ,2
118478,Darker paint heats up the car faster,2
118479,the sun will not make the in side hot and there is no use to put it outside ,2
118480,"I think its important to have light paint on the outside, because the it will make it reflect off the car. If it were dark paint it would attract the sun instead of reflect it.",2
118473,becuse dark things atrack black things,2
118474,"fuieryhgifuheoufhjaligfkhlwdufhkuhfgoawjgj,efhnfebqakughnedwlakfhbvnkjfdfhnjkdgyfhvcixrwhjemvfuiyhrjtb8vhyutjg8yyghyogehthgtrboetggtrbougtrbyugbtyugtbugbtyubgougbtugbtubgtyogbrybyogtrvtrbrbtbhutbhblutbultwbhutrbthrbhtrl",1
118483,If you use light-colored fabric inside the car the Sun's heat will be reflected by the fabric.   ,2
118470,Dark colors and black will attract more heat than lighter colors.   ,2
118472,0,1
118468,Light-colored things make it so the deflect/resist heat and black/dark colors obsorb heat so you get warmer.,3
118475,Dark colors absorb and contain heat more.,3
118477,My choices were the third and first one because if you have have any dark color on your car the sun will instantly hit your car because of the colors it has same goes to the fabric.,2
118465,"Dark colors attract heat and light, making dark colored things hotter.",3
118487,light colors reflect the sun,3
118488,It will work because the dark fabric like black will eat the sunlight thing and light colored fabric like yellow wont ,3
118486,I chose that because when you were light colors you don't get as hot as you do when you were dark colors.,2
118484,I did this one because light reflect the light and dark odserb ?,4
118485,"I think it should have white colored paint because,if she used something black it would make it hotter because the white could be used as a reflector, and black could be used as a heater when its hot, that also works with t-shirts.",3
118490,i think its okay to have the car a light colored car because the dark colors like black react to the sun and make it hot inside and when its light colored like white its cool inside or it keeps it not hot,2
118467,Using light colored fabric can make the car cool because the sun goes to dark colors and gets hot.,2
118471,Light colored things reflect heat and and dark colored things absorb heat.,4
118469,The light color with reflect the heat.,3
118466,heat bounces off of light colored things and is attracted to dark things.,2
118543,you can have the light frabic inside your car so all the heat would go in there would be something blocking it,2
118515,i think it could be a lighter colored fabric because maybe  the darker the fabric is the warmer your car will get.,2
118517,"Because the darker the color is then the more hot it will be so light colors would attract the sun less. 
",2
118533,light colors don't trap as much heat as dark color. ,2
118518,The black or dark colors attract heat and contain it unlike light colors that don't attract as much heat.,2
118548,I think that you should use light colored paint because lighter colored cars seem to be colder inside that dark colored cars. ,2
118522,dark color obsorbes the heat,3
118562,i think they should use light colored paint because dark colored paint will make the car hot,2
