WISEID,Answer,KIScore
118364.0,the light colored paint will reflect the sun away,3
136413.0,she wouldn t want the inside of her car to get hot so she would put light colored fabric inside and it would not absorb it,2
118341.0,using light colored paints and fabrics reflect the heat off of them instead of absorbing the heat like dark colors,4
153823.0,light colored fabric because the lighter the color the less energy it will absorb,4
153816.0,dark colors conduct heat,2
118480.0,i think its important to have light paint on the outside because the it will make it reflect off the car if it were dark paint it would attract the sun instead of reflect it,2
139506.0,the light colored fabric reflects the sunlight and prevents light from entering,4
136363.0,because if it s darker the fabric will absorb the light but if it s lighter it will deflect it,5
118548.0,laura should use light colored fabric on the inside because it wont obsorb heat like if you put dark fabric,3
150921.0,black absorbs all light and turns it into heat but white does not,5
118391.0,the light colored fabric will deflect the sun s rays from getting inside while the dark colored fabric will absorb the sun s rays and let it in the car,4
136405.0,i chose this because the dark paint would take in the sun s heat and the car would get hot with the lighter paint it will reflect more heat than absorb it this same things goes for the fabric,2
136465.0,she should light colors because it reflect the heat,3
118533.0,light colors don t trap as much heat as dark color,2
136454.0,if you use a light color fabric its will reflect all the heat that try s to come in the car,3
139826.0,light colored paint reflects light waves being emitted from the sun so it will not absorb the sun s heat dark colors actually absorb heat therefore if the car were to be painted dark it would absorb the sun s heat and warm up,5
118536.0,dark colors absorb the heat energy making it hotter,4
150195.0,she should use light colored paint and fabric because dark colors such as black attract the sun while light colors like with reflect the sun,3
150077.0,light colors prevent heat from going inside and creating conduction dark colors take the heat and seal it so that it goes inside so if your car is hot it s probably because you have dark colors on the inside and or outside,4
136456.0,since lighter colors have a high albedo the ability to reflect light the car would reflect the heat with lighter color fabric and paint,4
118308.0,using a light colored paint will reflect more sun and a dark colored paint will absorb more sun and a light colored fabric will reflect and a dark colored fabric will absorb,4
118307.0,because dark colors are heated up faster,2
136560.0,because it can reflect the sun from the car,3
139536.0,light colored paint and fabric reflect radiation more than dark colored paint and fabric the less radiation is absorbed the less heat will be inside of the car,4
136513.0,because we ve learned that darker colors absorb heat and lighter colors reflect heat,4
139824.0,i chose light colored everything because darker colors absorb more light and heat than lighter colors,4
