WISEID,Answer,KIScore
118468.0,it should be out of the car because the shiny part will make the car hotter because the shiny part will reflect the sunlight into the inside of the car that makes the car warmer qand she wants the car to not be burning hot inside,4
149965.0,the shiny part should face outside the car because the sun will reflect back,4
154159.0,because the wind sheald bloks the heat frome the out side petects it frome the inside,2
139489.0,the shiny side will have a greater reflect than the not so shiny side since the shiny side reflects more it should reflect more sunlight and causing less sunlight to enter her car,4
118456.0,the shiny part should be facing out of the car because the sun would reflect off of it,4
150072.0,out of the car is better so the sun can reflect off the car,4
118311.0,out of the car because when the sunlight hits the wind shield the solar energy reflects back and keeps the car from heating up,4
136468.0,the outside of the car because on the shinny part of the windshield car reflect the suns sun rays towards the sky,4
136424.0,if it is facing away from the car it will reflect more light away keeping it cold,4
118571.0,the shiny part is the reflector so it will reflect the solar radiation,4
136505.0,the shiny part would face out of the car and it would result in the suns light to be reflected and reflect away from the car,4
118609.0,nan,1
154208.0,the shiny part will reflect radiation,4
118530.0,because if she put it toward is better and i think toward the car because i sew some people that put them inside the car so i think she might put itn toward the inside the car,2
118394.0,the shiny part reflects the sunlight,4
136419.0,the shiny side will reflect light and heat away from the car,4
139478.0,that way the radiation from the sun will reflect outside the car instead of inside allowing the care to be cooler because the shiny side is reflective deflecting the rays toward the outside,4
154326.0,the shiny part will reflect the sun away from the car,4
154313.0,i think this because the non shiny part would suck up heat,2
139514.0,the shiny side would reflect more light energy than just the light dull side so if the shiny part is reflecting more of the energy the car would be cooler,4
139844.0,the shiny part should face the outside of the car because it will reflect the light,4
136549.0,the shiny part should face the outside of the car so when the light hits it and reflects it doesn t go in the car but reflects out of the car i know this because when sunlight hits tin foil it gets hot and the shiny thing is like tin foil and also i took the sun visor out of the wind shield it was super hot,4
151206.0,i chose out of the car because the shiny part will reflect the sun and force it to go outside of the car,4
136390.0,the shinny part should face outside of the car because the shinny part reflects the light and heat causing the heat to leave and can t come in the car,4
118607.0,the shiny side of the sun shade will reflect light out of the car,4
118580.0,so the heat wont shine it the car so it wont get hot,2
149961.0,it will reflect the sunlight,4
136498.0,the shiny part should face out of the car because the shininess will reflect the suns heat and energy,4
118305.0,it has to be inside so it won t get hot inside,2
118469.0,,1
154224.0,out of the car because you do not want,2
139816.0,nan,1
118478.0,the shiny side will reflect heat from the car,3
136583.0,i choose this because most shiny things reflect light than other things,4
136495.0,it should face the outside because it will reflect light when it reflects light it will make it less hot in the car because no sunlight is getting inside,4
136354.0,face the shiny part at the sun because it will reflect most of the light,4
153824.0,the shiny part of the car shade should be facing outwards because when the solar radiation hits the car shade if the shiny side is facing outward the solar radiation will be reflected elsewhere,4
153978.0,the shiny side will reflect the sun away,4
118316.0,it should shine on the out side of the car because it will reflect the sun off it,4
136497.0,outside the car because the shinny side will reflect the light,4
150245.0,i chose this because it will reflect the sun out of the car instead of absorbing it,5
118609.0,it ll observe more heat to keep car cool,2
118607.0,putting the shiny part facing outward will mean the shiny material will reflect more light and heat,4
118524.0,the shiny side of the windshield should face the outside of the car because the shiny side reflects the sun,4
118554.0,it will reflect the light out of the car,4
139870.0,the shiny part of the sun shade reflects the suns rays which means it reflects the suns heat,2
139487.0,the shiny part should be faced out of the car because it can reflect the sunlight away from the car,4
151181.0,out of the car for less heat,2
154306.0,i think the sunny side of the sunshade will reflect most of the sunlight,4
118475.0,so it reflects the light out of the car,4
139832.0,the shiny part can reflect the light away so the car can stay cooler and not absorb as much heat,5
136392.0,since light can reflect from the shiny part is gonna go the other way and not toward the car,4
150130.0,the shiny part will reflect the sun away from the car,4
118576.0,the sun reflects off the shiny part,4
136402.0,you put it on the outside so the no heat will go in the car at all the sun shades reflect light heat,4
153913.0,because it can keep your car cool inside and some one might steal it,2
153816.0,shininess reflects radiation,4
118634.0,nan,1
136392.0,the shiny part acts like tin foil or aluminum foil and that will reflect off most of the light away from the car,4
139795.0,the sun shade on her windshield should face the shiny one so it reflects the sun,4
139494.0,the shiny part should face out of the car because its shiny and reflective surface will help the sun ray bounce off be reflected back so that the car can keep cool,4
136563.0,this will also reflect the heat away,3
154211.0,the shiny part should face the outside because it would reflect the heat away from your car,3
139517.0,if the shiny part is away from the car the shiny part will reflect the light instead of letting it inside making the car heat up less,4
136560.0,because the sunshade reflects the sun coming at her car when turn it out of the car,4
154340.0,i chose the first one because if its out side the car the wind can blow it of,2
153823.0,out of the car because the sun will reflect off of the shinny part,4
136503.0,this way the shades reflect the light to the outside of the car,4
118483.0,the shiny part will reflect the heat,3
118475.0,the shiny part will reflect the light heating up the car,4
139826.0,the shiny material reflects the sun s rays as it is a reflective material the reflective material does not absorb the sun s radiation and will not absorb heat if the material were on the other side it would probably retain the infrared radiation inside the car making it warmer,5
151215.0,if the shiny part is out of the car the light bounces off of it instead of it going in the car,4
139802.0,the shiny part should out of the car,2
139510.0,the shiny side will reflect the light rays more,4
154215.0,beause it could fall outside or it coud be stolen,2
118337.0,i picked my answer because the shiny part is like a mirror and mirrors reflect and you wantt o relfect the sun out of the car,4
136415.0,the shiny cover is going to reflect the suns rays back twords space and the sun or to another car,4
