WISEID,Answer,KIScore
118296,"I think the sun shade should be facing the outside of the car because it would reflect the sun and the not shiny side would be facing the inside. If the not shiny side is facing out than the shiny side would not reflect on the sun, and the car would be warmer than it would be if the shiny side was facing out.

Katie ",3
118300,You want it in your car because it reflects the sun from burning your inside of your car.,4
118302,The shiny part of the sun shade should go on the outside of the car because the shiny part reflexes the solar heat coming into the car when Laura is outside on a summer day.,2
118310,i think the sun shade should face out of the car so the shiny part makes the sun not hit the car.,3
118304,"That way, the shiny part will deflect the heat.",2
118313,Shiny fabric absorbs more sunlight than the dull colored fabric.,3
118319,because the sun will reflect of the shiny side and keep the hot air out.,4
118297,so the refelects and hits something else.,3
118298,I pick toward the inside of the car because it will make the outside hot but not the inside.,2
118311,because the shiny part will reflect back,3
118305,it will block the sun away from laura car.,3
118293,It should face out of the car because the shiny side will reflect the sun light away from the car making it coolar.,4
118299,Well the problem having a sun shade on the outside of your car is that someone might steal it or might just want to take while your out somewhere and you leave your sun shade out.So that is my prediction.,2
118309,because its the inside your trying to keep it cold not outside,2
118307,Because the shiny part reflects the sun off.,4
118306,"i think laura might want to make the shine part face the out side because, it will riflect the sun back out ",4
118308,if you had it facing towards the inside of the car it would just let the sun right through,2
118321,"Out the car because if put the sun shade toward the car,the car will get hot,and if you put the sun shade out the car the sun will reflect of the car,and it could stay cool in the inside.",4
118312,It should face out of the car because the shiny part will make it warm.,2
118318,my answer is the second picture because that can keep the car cool and the sun cant heat up the car and it can stay cool.,2
118303,I think that the sun shade that has the shiny part facing out of the car because if it was facing towards the car the shine part would shine the light and heat in the car which would make the car hot in side of the car. ,3
118314,so it dosn't blow away ,2
118301,I think inside because the shiny part will attract the sun and she wants to keep the sun away.,3
118316,the shiny part should face the inside of the car because it will reflect it off of the car,2
118320,This is my answer because it blocks more sunlight from coming into the car.,3
118294,0,1
118315,this way the sun light reflects OUT of the car,4
118323,I think the shiny part should face the inside of the car because I think the shiny part atract more sunlight and to prevent the car from being really hot she should put the other sine facing out because it atracts less sun light.,3
118482,0,1
118478,If the sun reaflects off the wind shealed the car won't heat up as much.,4
118479,inside so it wont get hot,2
118480,Then it can reflect the sun off the car and it wont be hot inside the car.,4
118473,becuse in the out side the wind will blow it away,2
118474,ityhjmgbovietrhsybgjv8octeiwoyh;eriu,1
118483, The Sun's heat will reflect off of the car.,2
118470,That way the sun will reflect away from the car back outside.,4
118472,0,1
118468,Keeping the shiny part out of the car makes it so the heat reflects off of the car into somewhere away from the car and if you put the non-shiny part so it is facing the car it would make it so the car would get hotter,3
