WISEID,Answer,KIScore
118579,David's claim is incorrect because the wide one has more surface area and will absorb more energy,4
118580,David's claim is right because it got a lot of energy.,2
118591,David is correct because I chose the skinny and tall one and the heat went up really fast.,2
118587,David's claim is  because the wide and short is the one that heats up faster because it takes more energy the the skinny and tall.,5
118588,David's claim is incorrect because when I tried short and wide and it heated up faster than the skinny and tall box.,3
118575,David's claim is wrong because the small wide box warms up almost dubble as fast,3
118581,David's claim is ... incorrect because ... tall and skinny only got to 30 degrees and small and short got to 45 degrees. The tall and skinny doesn't absorb much heat. ,3
118550,David's claim is wrong because bigger reflectors get more heat.,2
118551,David's claim is incorrect because the opening of the box is smaller and can't hold as many heat.,2
118527,David's claim is wrong because the short and wide box heated up faster because the top of the bow has bigger opening.,4
118524,David's claim is incorrect because the tall and skinny box has less surface area to absorb the heat.,2
118571,"David's claim is not correct because, the wide and short box has more space to let in the solar radiation. Also the skinny and tall box has to let solar radiation in before it can be released.",4
118561,David's claim is not correct because in the model it show solar radiation stayed trapped inside the wide and short one making heat easily trapped inside.,3
118565,he is correct because when you look on how fast it heats up mostly all the heat energy was there.,2
118525,David's claim is partly correct because only a little came out yet little only came in,2
118446,David's claim is incorrect because the tall and skinny box is taller and has less room for the heat to circulate sideways. The short and wide one however has a lot of space for the infrared heat to go side to side.,3
118445,David's claim is incorrect because the short but wide box had more surface area of where the solar radiation could become trapped in the box.,2
118439,David's claim is ... because ... David is wrong because the big oven attracts more heat,2
118438,David's claim is wrong because the wide and short will catch more heat because it is wider. The short and tall cannot catch much energy.,3
118443,"David's claim is incorrect because t`h`e tall and skinny box has a small window so the solar radiation has a small window to go through, the wide and short box has a big window so the solar radiation has a better chance of getting inside the box and heating it up",4
118440,David's claim is ... because ...some of the heat is staying in,2
118481,David's claim is incorrect because when it is skinnier it obsorbs more heat,2
118449,David's claim incorect becase the heat only can enter a small window,2
118444,"David's claim is incorrect because even though the narrow box doesnt let heat out , it doesnt let too much of it in.",2
118442,David's claim is partly correct because the oven got hot fast but slowed down and eventually stayed the same temperature,3
118413,David's claim is not true because the short box,2
118394,David's claim is wrong... because ...the wide box has a bigger window so it lets more  heat and sunlight come in,3
118397,David's claim is partly correct because it says where is it going and it isn't going quite right or wrong.,2
118367,its correct because David has the graph with diffrent arrows.,2
118337,David's claim is wrong because the wide and short box catches more sun than the skinny and tall box.,4
118341,David's claim is incorrect because the temperature only reached 38 degrees celcius while the wide and short one reached 64.,3
118339,David's claim is correct because ... the bigger box could be so big it could take more time to heat up.,2
118346,David's claim is wrong because the skinny did not observe as many heat.,2
118353,David's claim is correct because the shiny part is reflective so that will heat the oven.,2
118345,David's claim is incorrect because the small and wide on lets more light and heat in than the tall and skinny one.,3
118348,David's claim is wrong because the wide and short heat is higher than the tall and skinny. ,3
118354,David's claim is ... because ...the wide box will work because the sun does not have to hit one part of the box and the skinny box has to hit in one place the sun  needs to be.,3
118366,David's claim is incorrect because the results show that the wide heats up faster,4
118355,David's claim is correct because the skinny box did not let heat out fast and kept it in he was defently right.,2
118357,David's claim is ... because ...he should use the wide and sort box,3
118350,David's claim is incorrect because the wide and short box was hotter than the skinny and tall box at the same time period.,4
118361,0,1
118371,David's claim is not correct because the heat can hold more on the bottom that the top ,2
118347,He is partly correct because the skinny one is deep and not wide so the heat will be squished unlike the wide one it will take longer for the food to cook. But the wide can trap heat faster than the skinny one because it is skinny and not wide so it will take longer than the wide one,2
118372,David's claim is incorrect correct because the heat rays stay in the bottom of the box.,2
118349,David's claim is wrong because the heat can get in a short box better than a tall box the sun cant get in a tall box but can with a short box.,4
118351,David's claim is ... because ... the heat stays in waiting for the solar radiation to come down.,2
118417,David's claim is ... because ...,1
118414,David's claim is wrong because the little collect's more heat.,3
118409,David's claim is ... because ... it is correct because his box works,2
118391,David's claim is incorrect because the tall and skinny one has a smaller window so not as much heat can get in and the short and wide one has a larger window so more heat can get in.,2
118401,David's claim is ... because ...he is not correct because the two boxes got the same temperatrure in the same amount of time.,2
118400,David's claim is ... because ...,1
118415,David's claim is incorrect because the wide and short box got hotter because there was more space for Solar Radiation to come in. The energy moves quicker an comes out as heat quicker because the box is not deep.,4
118398,David's claim is partly because it is not exackly the same.,2
118416,David's claim is rite because the heat stays on the bottom.,2
118408,0,1
118396,0,1
118411,David's claim is wrong because the wide and short box collected more heat because it was wider.,3
118447,David's claim is incorrect because the wide and short because it is wider and can collect more sun rays in a shorter amount of time.,4
118455,David's claim is incorrect because the big box does not have as much heat,3
118452,David's claim is wrong because the bigger the absorbing thing is the more heat it allows inside the box,2
118451,David's claim is incorrect because the short box warmed up faster.,3
118437,"David's claim is wrong because the tall one got hotter slower and it did not even get that hot

the wide box got hotter because it  could collect more",3
118458,David's claim is partly correct because both of the tempatures were at 30. ,2
118462,David's claim is incorrect because the short and wide one got hotter in the same amount of time as the tall and skinny one.  it got hotter because the heat  has to travel less. ,2
118460,David's claim is correct because it did collect sunlight and it collected radiation too.,2
118454,David's claim No because The temurature from the skinny and tall box is lower than the short one.,3
118464,David's claim is correct because the tall one got more effect.,3
118593,David's claim is wrong because after seeing the graph I noticed the the wide and short box became hotter than the skinny and tall box. ,3
118585,David's claim is incorrect because on the graph it shows how the solar oven is heating up rapidly.,3
118582,David's claim is ... because ...he was right,2
118592,David's claim is wrong  because it was going great but the heat was going down insted of going up it went down. It was moving fast but then it stoped and going back down .,2
118599,David's claim is partly because I think the short is better because it gets more sun but for skinney and tall I got for time 11.19 and for short and wide I got 9.78,4
118583,David's claim is ...wrong because beacause the wide and short had a biger window because ... the window was biger.,2
118576,David's claim is incorrect because the wide and short one got 36 degrees c and the wide and skinny box got 31 degrees c.,3
118584,0,1
118338,David's claim is incorrect because in a amount of 4 minutes the tall and skinny box let out more air than the wide and short box.,2
118919,"David's claim is incorrect because even though the window on the tall and skinny box let less heat escape, it's so small that not a lot of heat could enter to begin with. The wide and short box has more room for heat to enter.",2
118360,David's claim is incorect because the wide and short box heated up faster and it gives more room for SR to turn into heat.,5
118364,David's claim is incorrect because in 2 minutes wide and short got 43 Celsius but The skinny and tall one only got 34 in 2 minutes because the heat gets trapped more in the wide and short then the skinny and tall.,2
118344,0,1
118356,David's claim is wrong because i just checked the temperature for each one for a minute,2
118368,the heat comes down to make the air warm,2
118352,"David's claim is incorrect because while the short and wide absorbed more heat,the tall and skinny reflected more heat then absorb.",2
118358,David's claim is the skinny and tall oven because it will let less energy go.,2
118343,David's claim is incorrect because the tall and skinny box was too skinny for a lot of heat to even go in it.,2
118589,David's claim is partly correct because  the window is smaller and it will take more time fo the heat to go back into the air but also sinse the window is smaller it will let less heat in and the short and wide box will leat more heat in and keep the heat in.,2
