WISEID,Answer,KIScore
118296,"His car should be warmer than outside because it has been out there doing nothing so it had given the car a chance to get really hot.

Katie ;)",2
118300,If all the windows are up then its going to be really warm.,2
118302,"It will be the the same temperature in the car because in the discription it says in caps ""COLD"". It also says Akbar hasn't used his car in a week, so that means that he hasn't put on the air conditioning or the heater. So that would make his car the same temperature as outside.",2
118310,"I think it would be warmer than inside because, the sun is hitting the car directly so the heat is going 
to make inside the car hot.",2
118304,It is in the sun so the sun heats up the car and the heat is trapped in the car.,3
118313,"If it is in the sun, the heat goes directly towards it and keeps it warm.",2
118319,because the temperature can change because it might have been hot one day but it says it was cold so the temperature changed to the cold,2
118297,Cars get cold if they are not used everyday and if someone didn't use there car for a week the car will be cold.,2
118298,I think it is warmer than outside because it was sitting in the sun not being drivin for a week.,2
118311,the air in the car is the same because the air has been trapped in the car for a week and it is in the sun the sun hits through the window and then air gets hit with the sun when you get in it is going to be the same like outside but if you are driving and you roll down the window fast air would come in then the car will be cool.,2
118305,it is warmer because it is parked in the sun and the car must of gotten warm by the sunlight ,2
118293,Well the car holds the cold air and more cold air keeps getting pushed in so the car will eventually get colder than the air outside.,2
118299,"Well it depends because,some cars only use cold air some hot and some have no air conditioning and some have both but all in all it just depends what kind car you have. ",2
118309,because if its a cold day then it will be realy cold,2
118307,Because the doors are closed and the cold air can not get inside.,2
118306,well my hipothisis is that the car is warmer than the outside air because it might have absorbed some of the hot air outside ,2
118308,Because it could be cold outside and you have the warm air conditioning on in your car which makes your car warmer than outside,2
118321,It must be warmer than air outside because of the fuel in the car and the things inside the car.,2
118312,I think it is warmer than the outside air because on some days we leave our car parked in the sun and than we go in the car and its warmer than the outside air.,2
118318,"the answer is that if it is iron it heats up really fast and it is very hot.
when it heats up and you touch it it is burning why ...... because it is iron
and the sun heats up the iron when it is very hot.",2
118303,I think that it's warmer than the outside air because the cold outside made the outside of the car cold and the in side must have warm air trapped inside of the car.  ,2
118314,i predictit is the second one becousen it not to cold or too hot ,2
118301,"The car will be warmer than the outside air because,its been sitting in the sun for a long time.Also if there is some cool breeze outside when its very hot the car can't get the cool air because the car is closed.And if the sun is directly hitting it the car will definitly be hotter than than the outside. ",2
118316,i think it will be warmer than the out side air because the sun has been shining into the car.,2
118320,I said this because there is usually a certain temperature outside everyday.If you want a warm temperature in your car even when it is hot outside you could possibly have your car warmer.,2
118294,His car might have the greenhouse effect so his car might be hotter inside or hotter outside or the same temperature.,3
118315,a car is built like a oven and because there is metal on the outside it will heat up fast and the contents in the inside heat up slowly then that makes the car almost like a oven :),3
118323,"I belive the car will be colder than the air outside because, the car was outside so that means all the cold air was hitting the. the car is metal so it makes the car even colder.",2
118482,I think that the car is warmer than the outside because when I get in my car when its cold its more hot inside my car.,2
118478,When it is hot outside in is sweltering in the car,2
118479,Its the same because the hot or cold air gets in the car by the engine and it can make the car warm or hot depending if it is hot or cold.,2
